url,artist,name,chartMax,chartCount,danceability,energy,camelot,loudness,mode,speechiness,acousticness,instrumentalness,liveness,bpm,signature,duration,spotify,chartYear,popularity,release_date,image/height,image/url,image/width,songplay,n1
spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,17,10,0.323,0.737,10,-4.008,1,0.0338,0.142,0.0002,0.163,113.26,4,241067,TRUE,2022,89,3/30/2018,640,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,640,https://p.scdn.co/mp3-preview/71b0b4f2193586e5b16e80e32ee9ba952153b015?cid=774b29d4f13844c495f206cafdad9c86,I Was Never There
spotify:track:6wtZPYBIXUvCpXwVjMCJBf,"Polimá Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,44,8,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.0039,0.0638,109.97,4,322347,TRUE,2022,84,6/16/2022,640,https://i.scdn.co/image/ab67616d0000b27353f35bf4da7e552b28d409dd,640,https://p.scdn.co/mp3-preview/6b9a70b69261454957bd54076d42b84980994b4f?cid=774b29d4f13844c495f206cafdad9c86,ULTRA SOLO REMIX
spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),78,5,0.723,0.772,1,-6.784,1,0.0792,0.0052,0,0.367,102.004,4,146471,TRUE,2022,83,6/10/2022,640,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,640,https://p.scdn.co/mp3-preview/4218dc80ecd01eeac4f2a98c51ddae595734b4c0?cid=774b29d4f13844c495f206cafdad9c86,Betty (Get Money)
spotify:track:7gwT3HGL84vF7bgtwL1N88,Lasso,Ojos Marrones,72,6,0.809,0.649,8,-4.433,0,0.0416,0.0407,0,0.145,120.014,4,198520,TRUE,2022,85,6/3/2022,640,https://i.scdn.co/image/ab67616d0000b273c6fbbdf9c172f4f68a89198a,640,https://p.scdn.co/mp3-preview/61a1decd76c292d4b2d049cf190907c165448132?cid=774b29d4f13844c495f206cafdad9c86,Ojos Marrones
spotify:track:2MuWTIM3b0YEAskbeeFE1i,Metallica,Master Of Puppets,20,6,0.543,0.836,4,-9.11,0,0.0353,0.0006,0.431,0.153,105.173,4,515387,TRUE,2022,79,3/3/1986,640,https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20,640,https://p.scdn.co/mp3-preview/c3818dcb62a5cc3701b08c3465ab93199e2786e3?cid=774b29d4f13844c495f206cafdad9c86,Master Of Puppets
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,1,97,0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,186.003,4,230453,TRUE,2022,89,11/25/2016,640,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,640,https://p.scdn.co/mp3-preview/6971744127351b668369de4f97f47747bce78ecd?cid=774b29d4f13844c495f206cafdad9c86,Starboy
spotify:track:44XjoNvtwevktFKjvVe1vH,"Bad Bunny, Buscabulla",Andrea,21,14,0.797,0.616,1,-10.229,0,0.375,0.762,0.0003,0.0979,103.071,4,339612,TRUE,2022,84,5/6/2022,640,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,640,https://p.scdn.co/mp3-preview/09536841505c58600d3b685098600412558836c1?cid=774b29d4f13844c495f206cafdad9c86,Andrea
spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,25,14,0.839,0.69,11,-4.464,1,0.0615,0.207,0.00000833,0.176,151.991,4,196413,TRUE,2022,86,5/6/2022,640,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,640,https://p.scdn.co/mp3-preview/59a2830f61c6874453500a324d3739926b23ac84?cid=774b29d4f13844c495f206cafdad9c86,Un Coco
spotify:track:02jLfqc9gMo8PkHEGHY3OT,Feid,Si Te La Encuentras Por Ahí,86,1,0.743,0.576,8,-3.552,0,0.076,0.151,0.0001,0.128,171.945,4,191573,TRUE,2022,79,8/5/2022,640,https://i.scdn.co/image/ab67616d0000b27397e6e8981e68ec933eec4c37,640,https://p.scdn.co/mp3-preview/d7842dcf0d10298bd86a2bc23be4fe1e5e8ae6a5?cid=774b29d4f13844c495f206cafdad9c86,Si Te La Encuentras Por Ahí
spotify:track:7fZBQnc0zXwVybgCIrQQil,"Imanbek, BYOR",Belly Dancer,77,11,0.845,0.797,1,-4.984,1,0.139,0.0582,0.00000557,0.167,121.985,4,151475,TRUE,2022,85,2/18/2022,640,https://i.scdn.co/image/ab67616d0000b273d7bdea3b1f6d05877fb48f38,640,https://p.scdn.co/mp3-preview/e72e3ca4284d50163543c4bda2fad706801b2abc?cid=774b29d4f13844c495f206cafdad9c86,Belly Dancer
spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,93,5,0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,87.925,4,172342,TRUE,2022,81,7/7/2022,640,https://i.scdn.co/image/ab67616d0000b27312ebde47882280b814275600,640,https://p.scdn.co/mp3-preview/94e22586c94bcce77ffb411fa42efe2bd2950644?cid=774b29d4f13844c495f206cafdad9c86,Last Last
spotify:track:4d4ZXH4dr5bYfgErHiZCX2,Bad Bunny,Dos Mil 16,19,14,0.817,0.67,1,-6.534,1,0.0506,0.123,0.00000192,0.128,130.058,3,208615,TRUE,2022,84,5/6/2022,640,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,640,https://p.scdn.co/mp3-preview/32b762468315fd6a22d2efaaf05d5b2e50d543bb?cid=774b29d4f13844c495f206cafdad9c86,Dos Mil 16
spotify:track:6clzeGvi1CFioMOolbAOlX,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",86,3,0.81,0.733,9,-6.338,1,0.0444,0.276,0.00000673,0.288,125.975,4,229283,TRUE,2022,71,8/5/2022,640,https://i.scdn.co/image/ab67616d0000b273c5844aae8ac82f2a4fa6415e,640,https://p.scdn.co/mp3-preview/a7b6c21873ddee1947b2877cff0733b57b0e700d?cid=774b29d4f13844c495f206cafdad9c86,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)"
