track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
Shooting Stars,Bag Raiders,53,Bag Raiders (Deluxe),0,0.649,0.716,-6.232,1,11,0.0445,0.0879,0.03,0.0824,0.503,124.968,4,235813,spotify:track:7tOcPDj3vyopZ404pY6UuP,58,2009-01-01,640,https://i.scdn.co/image/ab67616d0000b2735112a7bcda53119caff2775a,640,https://p.scdn.co/mp3-preview/80eb520a7b74d7d9b19b1fa21fb7a9521bc6ca1b?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7tOcPDj3vyopZ404pY6UuP,Shooting Stars
The Git Up,Blanco Brown,60,The Git Up,3,0.847,0.678,-8.635,1,9,0.109,0.0669,0,0.274,0.811,97.984,4,200594,spotify:track:2KKijf6Ett4kmVNJze2roh,68,2019-10-10,640,https://i.scdn.co/image/ab67616d0000b27316a4572af63994af2da61dc9,640,https://p.scdn.co/mp3-preview/a59b55af454925945d00a1cdac8707f115216d82?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2KKijf6Ett4kmVNJze2roh,The Git Up
Payphone,Faruk Orman,43,Payphone,45,0.721,0.707,-7.953,1,11,0.224,0.563,6.4e-06,0.338,0.462,125.07,4,128825,spotify:track:3C2btPFgACikU0IPf5aZ9G,41,2021-05-07,640,https://i.scdn.co/image/ab67616d0000b27332962cb41e1a5537741c3ff2,640,https://p.scdn.co/mp3-preview/1ad02e3f3024d0c101fcd2aed2a6012abea0c965?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3C2btPFgACikU0IPf5aZ9G,Payphone
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),78,0.798,0.675,-5.041,1,6,0.0442,0.0912,0,0.0894,0.842,101.956,4,219947,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,77,2019-05-10,640,https://i.scdn.co/image/ab67616d0000b27357cc434093fd4b6af7500fd8,640,https://p.scdn.co/mp3-preview/09c175d9fdcea018621bd9daaab9b136bd15c3e7?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber)
hot girl bummer,blackbear,80,hot girl bummer,5,0.778,0.559,-7.109,0,6,0.0776,0.128,0,0.399,0.678,129.989,1,185093,spotify:track:6jRq8gaZhMUyy5RclRPcAf,79,2020-08-21,640,https://i.scdn.co/image/ab67616d0000b273e9b6f26ff354f4d70847f02d,640,https://p.scdn.co/mp3-preview/76cac6d770918a90ad76978192215a3892d0f3d0?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6jRq8gaZhMUyy5RclRPcAf,hot girl bummer
Demons,CPX,52,Demons,56,0.7,0.848,-5.473,1,8,0.217,0.317,0,0.349,0.29,124.056,4,129693,spotify:track:6997op11buHVAiqQvjqNHr,58,2021-05-21,640,https://i.scdn.co/image/ab67616d0000b273947cdd4e482b341875cbde75,640,https://p.scdn.co/mp3-preview/74b6b5be2d613787d22ed97aa0857e4dbb13698d?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6997op11buHVAiqQvjqNHr,Demons
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,85,Red Pill Blues (Deluxe),74,0.851,0.541,-6.825,1,0,0.0505,0.568,0,0.13,0.448,124.959,4,235545,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,64,2018-06-15,640,https://i.scdn.co/image/ab67616d0000b273fc4852898bc6ed85b3e3f89c,640,https://p.scdn.co/mp3-preview/8c996409879ab73ab4d19fd72a3f301819cdf919?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6V1bu6o1Yo5ZXnsCJU8Ovk,Girls Like You (feat. Cardi B) - Cardi B Version
Without Me,Halsey,83,Without Me,77,0.752,0.488,-7.05,1,6,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,201661,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,79,2020-01-17,640,https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd,640,https://p.scdn.co/mp3-preview/401f2dd43e382b45a6ef44a9f0b2d0edfffd9d9c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,Without Me
Plug Walk,Rich The Kid,67,The World Is Yours,70,0.876,0.519,-6.531,1,11,0.143,0.202,0,0.108,0.158,94.981,4,175230,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,70,2018-03-30,640,https://i.scdn.co/image/ab67616d0000b27364353426de6dfe0206f6d1d3,640,https://p.scdn.co/mp3-preview/3ac3ac79b4101779f9eb7b4ca74d945c96048a68?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Plug Walk
California Dreaming,Jorm,42,California Dreaming,53,0.717,0.865,-4.126,0,1,0.0307,0.0222,0.0012,0.605,0.487,124.048,4,152323,spotify:track:3XG7DC5vgOV1FUmXtH4JFt,48,2021-06-18,640,https://i.scdn.co/image/ab67616d0000b2736afc906da2df584b3f1fc232,640,https://p.scdn.co/mp3-preview/127ce7e36d44991311e39582188875f2579b2dd0?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3XG7DC5vgOV1FUmXtH4JFt,California Dreaming
Rockstar,Ilkay Sencan,61,Rockstar,69,0.771,0.826,-3.978,1,11,0.0604,0.142,0.03,0.145,0.185,100.012,4,212280,spotify:track:4OgwXdylh75fHfwUzJTUqg,69,2019-06-21,640,https://i.scdn.co/image/ab67616d0000b273a1d56525c3380e5cbda5f48f,640,https://p.scdn.co/mp3-preview/dd0dfd9f9df4f9bec7bccf7eeb7ed6a11de7869e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4OgwXdylh75fHfwUzJTUqg,Rockstar
Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,0,8,0.424,0.743,1.3e-06,0.0813,0.397,79.509,4,124000,spotify:track:2xhGZ3WzOa3tir28y7Cb88,73,2017-08-14,640,https://i.scdn.co/image/ab67616d0000b273faa57568c0d25c2c50d3f245,640,https://p.scdn.co/mp3-preview/1a60cec978beba5710fd8622f22db53653e049de?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2xhGZ3WzOa3tir28y7Cb88,Falling for U
Lovely,Alfons,58,Lovely,45,0.504,0.677,-6.954,0,4,0.064,0.316,0.00127,0.268,0.0375,128.078,4,159023,spotify:track:73iGYQcouJ0Sfgb5qKu0M1,43,2021-01-08,640,https://i.scdn.co/image/ab67616d0000b273e75e09d35534cd36f8474763,640,https://p.scdn.co/mp3-preview/3ffc46cfdc9a5e5b32dbffe7b4238fde4572c966?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:73iGYQcouJ0Sfgb5qKu0M1,Lovely
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216320,spotify:track:6K4t31amVTZDgR3sKmwUJJ,83,2015-07-17,640,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,640,https://p.scdn.co/mp3-preview/21477d6bae6cd638929a0a13ca64942f43178cef?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better
Dandelions,Ruth B.,75,Safe Haven,90,0.609,0.692,-2.958,1,1,0.0259,0.0157,0,0.0864,0.454,116.959,3,233720,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,89,2017-05-05,640,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,640,https://p.scdn.co/mp3-preview/e46c33f7456afa43a05ced40825ce5aa1ee78f7e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Dandelions
Jimmy Cooks (feat. 21 Savage),Drake,95,"Honestly, Nevermind",92,0.529,0.673,-4.711,1,0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,218365,spotify:track:3F5CgOj3wFlRv51JsHbxhe,90,2022-06-17,640,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,640,https://p.scdn.co/mp3-preview/5feee7c2fed489c933a31ef125aa4ffb5205a457?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage)
Good Looking,Suki Waterhouse,64,Good Looking,80,0.377,0.558,-9.076,1,4,0.0299,0.0789,0.000342,0.125,0.267,149.971,3,214800,spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,71,2022-08-18,640,https://i.scdn.co/image/ab67616d0000b27343bff43a592efe047d2ab9ff,640,https://p.scdn.co/mp3-preview/5f32e40b51751a1982467ff4ee104e0f472af456?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0j3mqDTK4Z6lvrLzFCUUz6,Good Looking
INFERNO,Sub Urban,67,INFERNO,71,0.82,0.611,-5.02,0,9,0.122,0.0766,2.5e-05,0.0684,0.637,127.883,4,133134,spotify:track:7aonAWn0J0AJ47ZU9WHCXC,68,2021-08-13,640,https://i.scdn.co/image/ab67616d0000b27309c398b31c366c6fa92c0732,640,https://p.scdn.co/mp3-preview/ccbb2e1221e24d1cb7e4d5f7ef5aba80db99913a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7aonAWn0J0AJ47ZU9WHCXC,INFERNO
