track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
Forever,Gianni Blu,46,Forever,54,0.753,0.75,-4.314,1,11,0.0817,0.00421,3.47e-05,0.0775,0.266,124.998,4,167040,spotify:track:0B12MBErJXdJakVZlZKcNv,49,2020-11-20,640,https://i.scdn.co/image/ab67616d0000b273eb0216b23d0288d62c1c2990,640,https://p.scdn.co/mp3-preview/629cc8134711351480093ea15ad0ab31f8f919b2?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0B12MBErJXdJakVZlZKcNv,Forever
Rather Be,Cabuizee,40,Rather Be,46,0.706,0.895,-3.879,0,8,0.148,0.299,0,0.48,0.556,120.978,4,163884,spotify:track:3uGarmTGPtgje96RJgKiMa,43,2022-07-01,640,https://i.scdn.co/image/ab67616d0000b27319cde774f292321c227d913f,640,https://p.scdn.co/mp3-preview/1a82bff5d5dd600d1143233566ee750e74249035?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3uGarmTGPtgje96RJgKiMa,Rather Be
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983,4,155497,spotify:track:55CHeLEfn5iJ0IIkgaa4si,69,2020-03-06,640,https://i.scdn.co/image/ab67616d0000b27320fbc17fcb9376bc76a1b510,640,https://p.scdn.co/mp3-preview/8dfbc9e1fa1c2aaac7e7226ab2c35e8db278590b?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:55CHeLEfn5iJ0IIkgaa4si,Savage
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034,4,162547,spotify:track:6wJYhPfqk3KGhHRG76WzOh,72,2020-02-07,640,https://i.scdn.co/image/ab67616d0000b273ab3f9995f4f3a83e0591c940,640,https://p.scdn.co/mp3-preview/f3f88963e9829945980bc14cdb78943f05eab73a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,0,4,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,221820,spotify:track:017PF4Q3l4DBUiWoXk4OWT,77,2020-03-27,640,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946,640,https://p.scdn.co/mp3-preview/e1e63b8e31c4ab2d28dc988c5ec40d4084206b64?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Break My Heart
On My Way,Alex Alexander,46,On My Way,40,0.67,0.544,-5.506,1,4,0.0252,0.0429,0,0.0926,0.772,96.039,3,200840,spotify:track:1HHmZe4jLzH5LLj3h6kvfK,33,2021-10-22,640,https://i.scdn.co/image/ab67616d0000b273d9e1f8488dee1ba29897f045,640,https://p.scdn.co/mp3-preview/7b39b9872ef00ed204a20ebea1faa9521af5ae67?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1HHmZe4jLzH5LLj3h6kvfK,On My Way
Astronomia,Vicetone,63,Astronomia,60,0.653,0.945,-2.634,1,5,0.096,0.00561,0.915,0.439,0.325,126.093,4,198095,spotify:track:3hWfKBt3n7j1xqIy6LA5ve,67,2016-09-16,640,https://i.scdn.co/image/ab67616d0000b27345c900291d08ed323fcd6309,640,https://p.scdn.co/mp3-preview/711c45481737ce1504d0308e5e689dd425ba2281?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3hWfKBt3n7j1xqIy6LA5ve,Astronomia
The Box,Roddy Ricch,80,Please Excuse Me for Being Antisocial,81,0.896,0.586,-6.687,0,10,0.0559,0.104,0,0.79,0.642,116.971,4,196653,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,80,2019-12-06,640,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,640,https://p.scdn.co/mp3-preview/efbcc9db8f3ad5b8fc9b379bbf93f991e47c7358?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box
What's up?,LeXxìv,32,What's up?,43,0.641,0.597,-7.06,1,9,0.033,0.000399,0,0.367,0.394,120.06,4,186000,spotify:track:5RfwQJo4NXkkKrRRU6MQAB,26,2022-02-25,640,https://i.scdn.co/image/ab67616d0000b27367663129b2491a96483205a1,640,https://p.scdn.co/mp3-preview/ed5276184a502f4fb64fff07a8b72e9da8fb7f6c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5RfwQJo4NXkkKrRRU6MQAB,What's up?
Supalonely,BENEE,67,STELLA & STEVE,72,0.863,0.631,-4.689,1,7,0.0534,0.305,3.04e-05,0.123,0.817,128.977,4,223480,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,70,2019-11-15,640,https://i.scdn.co/image/ab67616d0000b27382f4ec53c54bdd5be4eed4a0,640,https://p.scdn.co/mp3-preview/2282eee3d148bfb8c0d93ff1733cd92e0504d126?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,Supalonely
Toosie Slide,Drake,95,Dark Lane Demo Tapes,69,0.83,0.49,-8.82,0,1,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247059,spotify:track:127QTOFJsJQp5LbJbu3A1y,73,2020-04-03,640,https://i.scdn.co/image/ab67616d0000b2736443676b54522a86f6323e65,640,https://p.scdn.co/mp3-preview/702dcad1e6fb295dbd72878b7c751b485e548d75?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:127QTOFJsJQp5LbJbu3A1y,Toosie Slide
Don't Start Now,Dua Lipa,88,Don't Start Now,79,0.794,0.793,-4.521,0,11,0.0842,0.0125,0,0.0952,0.677,123.941,4,183290,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,78,2019-10-31,640,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,640,https://p.scdn.co/mp3-preview/e99d9e2e3c847f30660855e1c484341557dcfac6?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now
Be Kind (with Halsey),Marshmello,83,Be Kind (with Halsey),77,0.63,0.633,-7.088,1,4,0.0457,0.00776,0,0.0541,0.452,93.995,4,172762,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,76,2020-05-01,640,https://i.scdn.co/image/ab67616d0000b273fdf2e993e10e67396b3bf759,640,https://p.scdn.co/mp3-preview/c5bc70a32ffdde76560f5f6be10099d7f80fe904?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey)
Intentions (feat. Quavo),Justin Bieber,90,Changes,77,0.806,0.546,-6.637,1,9,0.0575,0.3,0,0.102,0.874,147.986,4,212867,spotify:track:4umIPjkehX1r7uhmGvXiSV,76,2020-02-14,640,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,640,https://p.scdn.co/mp3-preview/993e8baaee5b3bdb350b94818bd92ad868e8b8ad?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo)
Old Times,Xtinctor,21,Old Times,38,0.581,0.718,-5.631,1,1,0.0851,0.0195,0,0.075,0.149,92.992,4,184516,spotify:track:73mOPiCJKPe4w8YiuBJ7wS,21,2022-06-10,640,https://i.scdn.co/image/ab67616d0000b2732812d2f1eed148fe70fc29e0,640,https://p.scdn.co/mp3-preview/2d33053361015f0874bea5ed6b534fb703005d41?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:73mOPiCJKPe4w8YiuBJ7wS,Old Times
